"Date","Price","Open","High","Low","Vol.","Change %"
"29-04-2022","57,060.87","57,817.51","57,975.48","56,902.30","9.50M","-0.80%"
"28-04-2022","57,521.06","57,296.31","57,790.85","56,936.94","7.11M","1.23%"
"27-04-2022","56,819.39","56,983.68","57,079.03","56,584.04","6.57M","-0.94%"
"26-04-2022","57,356.61","57,066.24","57,442.24","56,904.51","7.34M","1.37%"
"25-04-2022","56,579.89","56,757.64","56,875.65","56,356.87","7.05M","-1.08%"
"22-04-2022","57,197.15","57,531.95","57,689.86","57,134.72","7.58M","-1.23%"
"21-04-2022","57,911.68","57,458.60","57,991.53","57,311.86","8.00M","1.53%"
"20-04-2022","57,037.50","56,741.43","57,216.51","56,521.33","7.58M","1.02%"
"19-04-2022","56,463.15","57,381.77","57,464.08","56,009.07","13.46M","-1.23%"
"18-04-2022","57,166.74","57,338.58","57,420.80","56,842.39","13.46M","-2.01%"
"13-04-2022","58,338.93","58,910.74","59,003.82","58,291.23","6.62M","-0.41%"
"12-04-2022","58,576.37","58,743.50","58,794.78","58,298.57","7.47M","-0.66%"
"11-04-2022","58,964.57","59,333.18","59,355.76","58,894.40","8.97M","-0.81%"
"08-04-2022","59,447.18","59,256.97","59,654.44","58,876.36","8.43M","0.70%"
"07-04-2022","59,034.95","59,402.61","59,504.92","58,977.35","8.27M","-0.97%"
"06-04-2022","59,610.41","59,815.71","59,941.57","59,509.84","10.58M","-0.94%"
"05-04-2022","60,176.50","60,786.07","60,786.07","60,067.18","6.76M","-0.72%"
"04-04-2022","60,611.74","59,764.13","60,845.10","59,760.22","12.57M","2.25%"
"01-04-2022","59,276.69","58,530.73","59,396.62","58,450.04","6.42M","1.21%"
"31-03-2022","58,568.51","58,779.71","58,890.92","58,485.79","4.38M","-0.20%"
"30-03-2022","58,683.99","58,362.85","58,727.78","58,176.00","6.28M","1.28%"
"29-03-2022","57,943.65","57,814.76","58,001.53","57,639.35","12.06M","0.61%"
"28-03-2022","57,593.49","57,472.72","57,638.34","56,825.09","6.30M","0.40%"
"25-03-2022","57,362.20","57,801.72","57,845.37","57,100.24","6.85M","-0.41%"
"24-03-2022","57,595.68","57,190.05","57,827.99","57,138.51","51.43M","-0.15%"
"23-03-2022","57,684.82","58,198.64","58,416.56","57,568.59","9.11M","-0.53%"
"22-03-2022","57,989.30","57,297.57","58,052.87","56,930.30","7.83M","1.22%"
"21-03-2022","57,292.49","58,030.41","58,127.95","57,229.08","6.37M","-0.99%"
"17-03-2022","57,863.93","57,620.28","58,095.84","57,518.06","7.15M","1.84%"
"16-03-2022","56,816.65","56,555.33","56,860.89","56,389.26","6.87M","1.86%"
"15-03-2022","55,776.85","56,663.87","56,720.60","55,418.95","8.14M","-1.26%"
"14-03-2022","56,486.02","55,614.40","56,545.83","55,556.47","9.07M","1.68%"
"11-03-2022","55,550.30","55,218.78","55,833.95","55,049.95","9.67M","0.15%"
